X,Y,time
17.761532,-12.570745,159610180.0
17.762802,-12.637121,159627120.0
17.736675,-12.63154,159644060.0
17.789997,-12.681849,159661020.0
17.810368,-12.675405,159677970.0
17.794966,-12.689269,159694910.0
17.76331,-12.6231785,159711870.0
17.814621,-12.691143,159728820.0
17.76331,-12.6231785,159745760.0
17.776066,-12.66291,159762700.0
17.825727,-12.58733,159779660.0
17.792679,-12.625704,159796600.0
17.806759,-12.616485,159813550.0
17.82726,-12.597819,159830510.0
17.82726,-12.597819,159847460.0
17.82726,-12.597819,159864400.0
17.817026,-12.598712,159881360.0
17.857822,-12.613755,159898300.0
17.871502,-12.661394,159915250.0
17.867071,-12.665494,159932210.0
17.872097,-12.655745,159949150.0
17.87982,-12.619432,159966100.0
17.885265,-12.586956,159983060.0
17.864004,-12.573815,160000000.0
17.902145,-12.5898485,160016940.0
17.936813,-12.616201,160033900.0
17.870275,-12.566917,160050850.0
17.942135,-12.620084,160067790.0
17.944878,-12.5668745,160084750.0
17.917366,-12.546135,160101700.0
17.93594,-12.5296755,160118640.0
17.994492,-12.519762,160135600.0
17.946117,-12.523542,160152540.0
18.04726,-12.549883,160169490.0
18.04753,-12.544044,160186430.0
18.041199,-12.494665,160203400.0
17.946545,-12.404237,160220340.0
17.950611,-12.404923,160237280.0
18.013348,-12.457157,160254240.0
17.970295,-12.395105,160271180.0
