X,Y,time
14.22813,-4.858139,102033896.0
14.15563,-4.9318647,102050850.0
14.1492,-4.972898,102067790.0
14.16776,-4.9772396,102084744.0
14.145657,-5.027219,102101700.0
14.1525135,-5.0030313,102118640.0
14.122482,-5.181687,102135590.0
14.130383,-5.208027,102152540.0
14.132526,-5.224339,102169490.0
14.133293,-5.2991114,102186440.0
14.133657,-5.3885803,102203390.0
14.130383,-5.442402,102220340.0
14.131245,-5.468528,102237290.0
14.129818,-5.5088325,102254240.0
14.168047,-5.5591784,102271180.0
14.214068,-5.629174,102288136.0
14.241024,-5.6466165,102305090.0
14.135836,-5.6371813,102322030.0
14.142182,-5.6653833,102338984.0
14.255108,-5.667076,102355940.0
14.385969,-5.7037125,102372880.0
14.4369335,-5.65362,102389830.0
14.356997,-5.721659,102406776.0
14.448313,-5.6129117,102423730.0
14.430838,-5.6547594,102440680.0
14.448624,-5.5844173,102457624.0
14.468061,-5.5584335,102474580.0
14.482174,-5.5249834,102491530.0
14.499367,-5.5135326,102508470.0
14.519482,-5.455903,102525420.0
14.5037985,-5.4059196,102542370.0
14.518663,-5.370164,102559320.0
14.40019,-5.2737226,102576270.0
14.357074,-5.2623844,102593220.0
14.289634,-5.2503886,102610170.0
14.238518,-5.266809,102627120.0
14.3592205,-5.251095,102644060.0
14.350282,-5.2537985,102661016.0
14.291405,-5.2546024,102677970.0
14.218933,-5.278602,102694910.0
14.177544,-5.31141,102711864.0
14.147387,-5.3235683,102728820.0
14.012623,-5.399727,102745760.0
13.98015,-5.4439845,102762710.0
13.936074,-5.490737,102779660.0
14.007067,-5.4371843,102796610.0
13.870726,-5.560153,102813560.0
13.867375,-5.5811186,102830510.0
13.83052,-5.6389914,102847460.0
13.787599,-5.713581,102864410.0
13.757145,-5.7525425,102881350.0
13.735033,-5.773954,102898300.0
13.737928,-5.800442,102915256.0
13.686764,-5.866763,102932200.0
13.724955,-5.8165765,102949150.0
13.612455,-5.9653225,102966104.0
13.58659,-5.9482455,102983050.0
13.589029,-6.007016,103000000.0
13.569281,-6.0598927,103016950.0
13.524851,-6.134756,103033896.0
13.570444,-6.059738,103050850.0
13.474986,-6.1992664,103067790.0
13.458009,-6.227804,103084744.0
13.405217,-6.290115,103101700.0
13.382744,-6.3380995,103118640.0
13.321807,-6.3730974,103135590.0
13.312471,-6.3941703,103152540.0
13.313702,-6.4296155,103169490.0
13.274309,-6.4455996,103186440.0
13.241127,-6.525074,103203390.0
13.186241,-6.5467186,103220340.0
13.280504,-6.491872,103237290.0
13.158863,-6.5888186,103254240.0
13.125208,-6.6441536,103271180.0
13.073999,-6.6901264,103288136.0
13.025648,-6.711047,103305090.0
13.105156,-6.6674824,103322030.0
12.970917,-6.755026,103338984.0
12.93364,-6.8031864,103355940.0
12.889804,-6.8503575,103372880.0
12.951567,-6.823061,103389830.0
12.93003,-6.854031,103406776.0
12.916798,-6.8603992,103423730.0
12.76239,-6.9181867,103440680.0
12.828205,-6.9130983,103457624.0
12.634818,-6.968964,103474580.0
12.72874,-6.9798074,103491530.0
12.716045,-6.9829473,103508470.0
12.690609,-7.0049696,103525420.0
12.665688,-7.0097675,103542370.0
12.508384,-7.0082016,103559320.0
12.455671,-7.007807,103576270.0
12.376148,-6.998458,103593220.0
12.333788,-6.983018,103610170.0
12.31938,-6.981345,103627120.0
12.410019,-7.0401993,103644060.0
12.263646,-6.96002,103661016.0
12.227585,-6.9438214,103677970.0
12.276857,-6.9587126,103694910.0
12.256454,-6.9541903,103711864.0
