X,Y,time
12.412758,-6.235738,104576270.0
12.42342,-6.233859,104593220.0
12.432418,-6.21469,104610170.0
12.449129,-6.222768,104627120.0
12.460012,-6.219039,104644060.0
12.520123,-6.1464057,104661016.0
12.47686,-6.2151527,104677970.0
12.534694,-6.1408496,104694910.0
12.53426,-6.140622,104711864.0
12.45977,-6.2422285,104728820.0
12.45977,-6.2422285,104745760.0
12.45977,-6.2422285,104762710.0
12.46532,-6.2423105,104779660.0
12.461739,-6.2489357,104796610.0
12.478682,-6.2392483,104813560.0
12.487544,-6.241516,104830510.0
12.487544,-6.241516,104847460.0
12.490406,-6.24126,104864410.0
12.494972,-6.244773,104881350.0
12.494972,-6.244773,104898300.0
12.488192,-6.260792,104915256.0
12.493409,-6.2442217,104932200.0
12.489634,-6.266752,104949150.0
12.492306,-6.262476,104966104.0
12.500362,-6.239848,104983050.0
12.501986,-6.240404,105000000.0
12.513734,-6.2437034,105016950.0
12.513734,-6.2437034,105033896.0
12.519736,-6.2352085,105050850.0
12.517746,-6.236123,105067790.0
12.518678,-6.2368813,105084744.0
12.518814,-6.238796,105101700.0
12.519648,-6.2379904,105118640.0
12.516607,-6.2364073,105135590.0
12.522694,-6.2379675,105152540.0
12.522694,-6.2379675,105169490.0
12.522694,-6.2379675,105186440.0
12.514449,-6.2572308,105203390.0
12.518043,-6.2572374,105220340.0
12.534368,-6.230594,105237290.0
12.5702915,-6.289363,105254240.0
12.598032,-6.2783594,105271180.0
12.595549,-6.276705,105288136.0
12.592802,-6.2753263,105305090.0
12.60137,-6.273421,105322030.0
12.60137,-6.273421,105338984.0
12.60137,-6.273421,105355940.0
12.607542,-6.269415,105372880.0
12.61853,-6.263888,105389830.0
12.563103,-6.281886,105406776.0
12.563103,-6.281886,105423730.0
