X,Y,time
12.748425,-11.204826,127525420.0
12.643739,-11.257215,127542370.0
12.643164,-11.255927,127559320.0
12.631783,-11.31819,127576270.0
12.558559,-11.368847,127593220.0
12.525419,-11.363763,127610170.0
12.644222,-11.261824,127627120.0
12.669745,-11.204525,127644060.0
12.634848,-11.2805,127661016.0
12.624878,-11.313351,127677970.0
12.6154995,-11.359891,127694910.0
12.60471,-11.376238,127711864.0
12.607078,-11.350655,127728820.0
12.637663,-11.317166,127745760.0
12.6424885,-11.323053,127762710.0
12.64385,-11.307054,127779660.0
12.665644,-11.325605,127796610.0
12.708052,-11.373463,127813560.0
12.734131,-11.399977,127830510.0
12.757568,-11.423414,127847460.0
12.759707,-11.416579,127864410.0
12.781448,-11.416786,127881350.0
12.781448,-11.416786,127898300.0
12.667404,-11.383099,127915256.0
12.786434,-11.420072,127932200.0
12.688282,-11.399968,127949150.0
12.686132,-11.405275,127966104.0
12.78817,-11.420361,127983050.0
12.791191,-11.422044,128000000.0
12.791191,-11.422044,128016950.0
12.791191,-11.422044,128033896.0
12.724254,-11.409066,128050850.0
12.724254,-11.409066,128067790.0
12.724254,-11.409066,128084744.0
12.794784,-11.4224615,128101700.0
12.738657,-11.410342,128118640.0
12.738657,-11.410342,128135590.0
12.798542,-11.4220085,128152540.0
12.798542,-11.4220085,128169490.0
12.794821,-11.421972,128186440.0
12.910965,-11.426282,128203390.0
12.90126,-11.418519,128220340.0
12.78454,-11.414345,128237290.0
12.902067,-11.40188,128254240.0
12.904972,-11.429905,128271180.0
12.913347,-11.415543,128288136.0
12.904972,-11.429905,128305090.0
12.904972,-11.429905,128322030.0
12.913347,-11.415543,128338984.0
12.913347,-11.415543,128355940.0
12.912481,-11.415726,128372880.0
12.840972,-11.414604,128389830.0
12.840972,-11.414604,128406776.0
12.825094,-11.4116535,128423730.0
