X,Y,time
12.793152,-5.8245854,83847460.0
12.822381,-5.8003793,83864410.0
12.84898,-5.7883863,83881350.0
12.871313,-5.784927,83898300.0
12.935696,-5.819971,83915256.0
12.984465,-5.847131,83932200.0
12.951001,-5.8012323,83949150.0
13.04403,-5.8460636,83966104.0
13.095512,-5.882663,83983050.0
13.136978,-5.953838,84000000.0
13.125896,-5.9806,84016950.0
13.161335,-5.999887,84033896.0
13.175045,-6.027753,84050850.0
13.198523,-6.1200266,84067790.0
13.204487,-6.173918,84084744.0
13.208841,-6.1969376,84101700.0
13.206354,-6.2215133,84118640.0
13.201471,-6.2648935,84135590.0
13.170254,-6.3157783,84152540.0
13.14777,-6.385355,84169490.0
13.1189995,-6.408454,84186440.0
13.100977,-6.428583,84203390.0
13.1001835,-6.424472,84220340.0
13.205452,-6.3838634,84237290.0
13.142896,-6.4543886,84254240.0
13.096045,-6.496622,84271180.0
13.073627,-6.5264454,84288136.0
13.057448,-6.542823,84305090.0
13.03035,-6.560825,84322030.0
12.97374,-6.585756,84338984.0
12.746229,-6.587799,84355940.0
12.704273,-6.576583,84372880.0
12.688011,-6.5765886,84389830.0
12.659235,-6.579939,84406776.0
12.600414,-6.5711164,84423730.0
12.647524,-6.5867043,84440680.0
12.513838,-6.4904795,84457624.0
12.559494,-6.5760975,84474580.0
12.548698,-6.57014,84491530.0
12.473863,-6.4485207,84508470.0
12.440365,-6.400685,84525420.0
12.423462,-6.379365,84542370.0
12.413518,-6.399724,84559320.0
12.397957,-6.3742104,84576270.0
12.345657,-6.233451,84593220.0
12.3857,-6.2586765,84610170.0
12.367638,-6.219942,84627120.0
12.367813,-6.197389,84644060.0
12.360611,-6.1862965,84661016.0
12.362263,-6.1684093,84677970.0
12.360207,-6.1392217,84694910.0
12.37684,-6.1146574,84711864.0
12.505074,-6.029175,84728820.0
12.432173,-6.013128,84745760.0
12.458808,-5.9999456,84762710.0
12.476009,-5.983159,84779660.0
12.495571,-5.9734497,84796610.0
12.667862,-6.015179,84813560.0
