X,Y,time
14.903683,-4.382648,56.271187
14.904638,-4.3848023,56.288136
14.904638,-4.3848023,56.305084
14.904638,-4.3848023,56.322033
14.904638,-4.3848023,56.33898
14.903683,-4.382648,56.35593
14.845085,-4.2925453,56.372883
14.845085,-4.2925453,56.38983
14.845085,-4.2925453,56.40678
14.904638,-4.3848023,56.42373
14.904638,-4.3848023,56.440678
14.899261,-4.367388,56.457626
14.899261,-4.367388,56.474575
14.899261,-4.367388,56.491524
14.899261,-4.367388,56.508472
14.70484,-4.3939743,56.694916
14.737238,-4.4158573,56.711864
14.730854,-4.5243826,56.728813
14.731071,-4.528287,56.74576
14.835718,-4.6085725,56.83051
14.772249,-4.6308913,56.847458
14.779939,-4.6568933,56.864407
14.788782,-4.6586657,56.881355
14.879486,-4.570135,56.898304
14.85761,-4.606964,56.915253
14.868286,-4.4536767,56.9322
14.883701,-4.5448046,56.949154
14.883701,-4.5448046,56.966103
14.874569,-4.4061313,56.98305
14.868991,-4.438223,57.0
14.87929,-4.388076,57.01695
14.877056,-4.370098,57.033897
14.968521,-4.3212023,57.118645
14.972034,-4.3164835,57.135593
14.972034,-4.3164835,57.152542
14.991959,-4.3212023,57.16949
15.032115,-4.3808107,57.18644
15.044918,-4.4144144,57.20339
15.0651655,-4.4127855,57.220337
15.070093,-4.53826,57.305084
15.070093,-4.53826,57.322033
14.9781475,-4.5552797,57.33898
15.003113,-4.5537395,57.35593
14.975604,-4.5222454,57.372883
14.960659,-4.504813,57.38983
14.942536,-4.385083,57.40678
14.944596,-4.3837485,57.42373
14.943163,-4.464897,57.440678
14.953436,-4.363742,57.457626
14.975834,-4.271557,57.57627
15.055059,-4.274798,57.61017
15.047331,-4.2658257,57.627117
14.99044,-4.224169,57.644066
15.086163,-4.2723064,57.661015
15.130179,-4.346079,57.677967
15.173544,-4.388383,57.694916
15.173056,-4.3961186,57.711864
15.183406,-4.3910584,57.728813
15.182604,-4.391593,57.74576
15.144124,-4.534645,57.881355
15.159592,-4.577479,57.898304
15.1587105,-4.5999565,57.915253
15.1587105,-4.5999565,57.9322
15.1587105,-4.5999565,57.949154
15.1587105,-4.5999565,57.966103
15.174088,-4.491954,57.98305
15.155582,-4.5995803,58.0
15.155582,-4.5995803,58.01695
15.155582,-4.5995803,58.033897
15.170763,-4.588456,58.050846
15.162989,-4.596174,58.067795
15.170763,-4.588456,58.084743
15.174088,-4.491954,58.101692
15.174088,-4.491954,58.118645
15.168354,-4.5970283,58.135593
15.168354,-4.5970283,58.152542
15.162989,-4.596174,58.16949
15.162989,-4.596174,58.18644
15.170763,-4.588456,58.20339
15.178353,-4.496693,58.220337
15.172159,-4.505241,58.23729
15.168354,-4.5970283,58.25424
15.162989,-4.596174,58.271187
15.162989,-4.596174,58.288136
15.162989,-4.596174,58.305084
15.170763,-4.588456,58.322033
15.133692,-4.569388,58.33898
15.226921,-4.493862,58.35593
15.241894,-4.38025,58.38983
15.241894,-4.38025,58.40678
15.260136,-4.3794703,58.42373
15.308765,-4.348281,58.440678
15.348455,-4.3401866,58.457626
15.372273,-4.3176107,58.474575
15.3770685,-4.3003793,58.491524
15.393351,-4.2936463,58.508472
15.400488,-4.2879143,58.52542
15.409397,-4.2918205,58.542374
15.41711,-4.2764854,58.559322
15.41711,-4.2764854,58.57627
15.41711,-4.2764854,58.59322
15.338147,-4.2689347,58.61017
15.335213,-4.2668376,58.627117
15.447315,-4.345408,58.644066
15.44581,-4.361128,58.661015
15.4226055,-4.292492,58.677967
15.459555,-4.3490953,58.694916
15.459246,-4.3479953,58.711864
15.266267,-4.4277277,58.83051
15.269573,-4.4091835,58.847458
15.259399,-4.4106154,58.864407
15.225731,-4.414669,58.881355
15.215145,-4.411477,58.898304
15.248875,-4.341902,58.915253
15.387625,-4.2862988,58.9322
15.414751,-4.270053,58.949154
15.4239435,-4.2535043,58.966103
15.420574,-4.2532816,58.98305
15.420574,-4.2532816,59.0
15.438189,-4.2466154,59.01695
15.438189,-4.2466154,59.033897
15.447381,-4.230067,59.067795
15.447381,-4.230067,59.084743
15.463985,-4.2296104,59.101692
15.463985,-4.2296104,59.118645
15.463985,-4.2296104,59.135593
15.463985,-4.2296104,59.152542
15.51086,-4.2296104,59.23729
15.534298,-4.2296104,59.25424
15.627305,-4.269762,59.33898
15.674913,-4.3206296,59.35593
15.70042,-4.318358,59.372883
15.646033,-4.29237,59.38983
15.707832,-4.318571,59.40678
15.674118,-4.2860165,59.42373
15.70067,-4.320034,59.474575
15.577861,-4.309628,59.644066
15.577861,-4.309628,59.661015
15.636658,-4.311121,59.677967
15.6047325,-4.2919693,59.694916
15.583309,-4.2919574,59.711864
15.559716,-4.270206,59.728813
15.490631,-4.230566,59.74576
15.494565,-4.194472,59.76271
15.56625,-4.1662817,59.864407
15.691885,-4.2031093,59.881355
15.696318,-4.207737,59.915253
15.611298,-4.200243,59.949154
15.706875,-4.236594,60.084743
15.85088,-4.316972,60.101692
15.858121,-4.3139315,60.118645
15.859226,-4.3146586,60.135593
15.862122,-4.311384,60.152542
15.866621,-4.3091145,60.16949
15.867699,-4.316598,60.18644
15.876812,-4.3090973,60.20339
15.866703,-4.317828,60.220337
15.881381,-4.3198733,60.23729
15.887514,-4.318285,60.25424
16.005758,-4.4311886,60.322033
16.005758,-4.4311886,60.33898
15.950721,-4.4095573,60.35593
16.004581,-4.4404926,60.372883
16.00759,-4.458096,60.38983
15.976465,-4.4916267,60.40678
15.931712,-4.457417,60.42373
15.931712,-4.457417,60.440678
