X,Y,time
12.764324,-6.048647,84847460.0
12.790163,-6.0699186,84864410.0
12.758739,-6.0265903,84881350.0
12.819294,-6.0984693,84898300.0
12.869989,-6.1477118,84915256.0
12.90091,-6.1928115,84932200.0
12.915828,-6.2341275,84949150.0
12.92696,-6.2576995,84966104.0
12.9355755,-6.278393,84983050.0
12.937521,-6.3099813,85000000.0
12.97655,-6.3981543,85016950.0
12.982262,-6.4567175,85033896.0
12.9926815,-6.498237,85050850.0
13.005224,-6.5188313,85067790.0
12.996311,-6.546136,85084744.0
12.992153,-6.6174173,85101700.0
12.969593,-6.6938705,85118640.0
12.938095,-6.717612,85135590.0
13.0309105,-6.643712,85152540.0
12.935861,-6.7569504,85169490.0
12.934498,-6.759102,85186440.0
12.911032,-6.780852,85203390.0
12.907668,-6.822374,85220340.0
12.969212,-6.7978992,85237290.0
12.792583,-6.8713493,85254240.0
12.907375,-6.867752,85271180.0
12.904634,-6.8737755,85288136.0
12.882658,-6.89172,85305090.0
12.880108,-6.912635,85322030.0
12.8239,-6.9176493,85338984.0
12.596544,-6.930813,85355940.0
12.684085,-6.9433956,85372880.0
12.662931,-6.946295,85389830.0
12.503586,-6.9485307,85406776.0
12.437565,-6.9336905,85423730.0
12.36536,-6.910922,85440680.0
12.434638,-6.9438386,85457624.0
12.410019,-6.9464493,85474580.0
12.384216,-6.94993,85491530.0
12.2716465,-6.8688946,85508470.0
12.292051,-6.892825,85525420.0
12.222698,-6.7998085,85542370.0
12.233175,-6.739911,85559320.0
12.203879,-6.824365,85576270.0
12.1875305,-6.806215,85593220.0
12.169636,-6.8026757,85610170.0
12.167304,-6.793706,85627120.0
12.170686,-6.75732,85644060.0
12.181215,-6.744569,85661016.0
