X,Y,time
12.892334,-11.381145,124322030.0
12.884224,-11.346002,124338984.0
12.677716,-11.403026,124355940.0
12.635326,-11.386778,124372880.0
12.6159,-11.376677,124389830.0
12.712177,-11.417229,124406776.0
12.646634,-11.371182,124423730.0
12.546211,-11.23595,124440680.0
12.540689,-11.197349,124457624.0
12.529737,-11.1771965,124474580.0
12.567017,-11.268788,124491530.0
12.544277,-11.255177,124508470.0
12.506862,-11.193145,124525420.0
12.630964,-11.035916,124542370.0
12.618065,-11.026425,124559320.0
12.554798,-11.07513,124576270.0
12.615947,-11.010774,124593220.0
