X,Y,time
14.645207,-4.698305,78932200.0
14.666968,-4.7182965,78949150.0
14.671036,-4.7387137,78966104.0
14.685468,-4.741108,78983050.0
14.710994,-4.804493,79000000.0
14.721528,-4.877542,79016950.0
14.711429,-4.9275875,79033896.0
14.709612,-4.949774,79050850.0
14.72216,-4.9525666,79067790.0
14.717199,-5.0045424,79084744.0
14.753656,-4.9574614,79101700.0
14.668711,-5.1204405,79118640.0
14.647822,-5.1468663,79135590.0
14.73232,-5.082968,79152540.0
14.624385,-5.1937413,79169490.0
14.55005,-5.2403703,79186440.0
14.618689,-5.233003,79203390.0
14.592548,-5.258631,79220340.0
14.588439,-5.2757177,79237290.0
14.543911,-5.2987413,79254240.0
14.478857,-5.3481836,79271180.0
14.430706,-5.391378,79288136.0
14.39841,-5.401825,79305090.0
14.375875,-5.4196887,79322030.0
14.328097,-5.4252625,79338984.0
14.118055,-5.4248643,79355940.0
14.052775,-5.4145665,79372880.0
14.021721,-5.4028144,79389830.0
14.111727,-5.471624,79406776.0
14.090212,-5.4674764,79423730.0
13.925137,-5.375907,79440680.0
13.9594,-5.4201202,79457624.0
13.932192,-5.391155,79474580.0
13.886393,-5.3701777,79491530.0
13.813777,-5.2463036,79508470.0
13.817501,-5.296714,79525420.0
13.780901,-5.238483,79542370.0
13.76577,-5.202182,79559320.0
13.746855,-5.1851764,79576270.0
13.749802,-5.1561394,79593220.0
