X,Y,time
12.948747,-11.221229,116084744.0
12.985797,-11.153494,116101700.0
12.882982,-11.188976,116118640.0
12.883722,-11.159062,116135590.0
13.003896,-11.121087,116152540.0
12.900511,-11.111849,116169490.0
13.047855,-11.082157,116186440.0
13.106773,-11.070327,116203390.0
13.0171795,-11.062891,116220340.0
13.037275,-11.047955,116237290.0
13.179388,-11.054301,116254240.0
13.08415,-11.047955,116271180.0
13.258083,-11.085551,116288136.0
13.300378,-11.137288,116305090.0
13.321938,-11.186337,116322030.0
13.329712,-11.182643,116338984.0
13.343242,-11.205996,116355940.0
13.358452,-11.204912,116372880.0
13.379662,-11.225811,116389830.0
13.389406,-11.302032,116406776.0
13.394743,-11.375821,116423730.0
13.397438,-11.407711,116440680.0
13.400909,-11.422051,116457624.0
13.380869,-11.446943,116474580.0
13.402496,-11.46865,116491530.0
13.438627,-11.40388,116508470.0
13.428213,-11.494935,116525420.0
13.420166,-11.53597,116542370.0
13.41926,-11.561386,116559320.0
13.399563,-11.57869,116576270.0
13.37758,-11.600695,116593220.0
13.298252,-11.635313,116610170.0
