X,Y,time
12.216608,-6.6391077,86118640.0
12.228376,-6.629117,86135590.0
12.230766,-6.5606976,86152540.0
12.2350025,-6.6382427,86169490.0
12.2350025,-6.6382427,86186440.0
12.231108,-6.6495657,86203390.0
12.243017,-6.5571594,86220340.0
12.23872,-6.652481,86237290.0
12.241833,-6.65221,86254240.0
12.241833,-6.65221,86271180.0
12.231989,-6.6559143,86288136.0
12.239904,-6.660674,86305090.0
12.2393875,-6.6538954,86322030.0
12.236492,-6.654672,86338984.0
12.24044,-6.657888,86355940.0
12.244621,-6.6587553,86372880.0
12.244621,-6.6587553,86389830.0
12.244621,-6.6587553,86406776.0
12.257409,-6.653266,86423730.0
12.266181,-6.6395836,86440680.0
12.265106,-6.6596804,86457624.0
12.265106,-6.6596804,86474580.0
12.265106,-6.6596804,86491530.0
12.265106,-6.6596804,86508470.0
12.264309,-6.6364217,86525420.0
12.271107,-6.6342726,86542370.0
12.293675,-6.6326714,86559320.0
12.285179,-6.6443834,86576270.0
12.273636,-6.594814,86593220.0
12.278559,-6.5697384,86610170.0
12.284655,-6.5399137,86627120.0
12.286947,-6.5360456,86644060.0
12.289487,-6.518304,86661016.0
12.207293,-6.4589443,86677970.0
12.290957,-6.4691668,86694910.0
12.282678,-6.475916,86711864.0
12.270042,-6.4577036,86728820.0
12.263466,-6.4566,86745760.0
12.252746,-6.457345,86762710.0
12.262301,-6.4346514,86779660.0
12.262301,-6.4346514,86796610.0
12.279834,-6.4323587,86813560.0
12.256242,-6.454382,86830510.0
12.256242,-6.454382,86847460.0
12.288423,-6.4253983,86864410.0
12.302582,-6.358673,86881350.0
12.302582,-6.358673,86898300.0
12.25428,-6.396825,86915256.0
12.299404,-6.3336325,86932200.0
12.281397,-6.4081783,86949150.0
12.308401,-6.337138,86966104.0
12.308401,-6.337138,86983050.0
12.298699,-6.4060636,87000000.0
12.306089,-6.4107876,87016950.0
12.32228,-6.340622,87033896.0
12.303427,-6.337136,87050850.0
12.299414,-6.306616,87067790.0
12.295336,-6.303383,87084744.0
12.306556,-6.2766094,87101700.0
12.30366,-6.3084993,87118640.0
12.304682,-6.2822666,87135590.0
12.283536,-6.2876806,87152540.0
