X,Y,time
12.375601,-10.376012,112152540.0
12.422298,-10.315142,112169490.0
12.476111,-10.292482,112186440.0
12.467562,-10.266143,112203390.0
12.487504,-10.259081,112220340.0
12.543627,-10.23905,112237290.0
12.462797,-10.227718,112254240.0
12.64003,-10.240258,112271180.0
12.5316925,-10.214382,112288136.0
12.549571,-10.205816,112305090.0
12.716472,-10.257109,112322030.0
12.63695,-10.227119,112338984.0
12.813513,-10.288969,112355940.0
12.851866,-10.340801,112372880.0
12.858431,-10.342172,112389830.0
12.859581,-10.339675,112406776.0
12.881298,-10.363895,112423730.0
12.826707,-10.2893505,112440680.0
12.970846,-10.433311,112457624.0
12.997717,-10.479732,112474580.0
12.999765,-10.501776,112491530.0
13.006371,-10.535345,112508470.0
13.027836,-10.549928,112525420.0
13.061992,-10.596621,112542370.0
13.084484,-10.668086,112559320.0
13.073088,-10.718498,112576270.0
13.099133,-10.739277,112593220.0
13.114131,-10.640696,112610170.0
13.107144,-10.786957,112627120.0
13.113135,-10.836483,112644060.0
13.127716,-10.796047,112661016.0
13.134266,-10.84127,112677970.0
13.024191,-10.969967,112694910.0
13.047669,-11.004226,112711864.0
13.115567,-10.948829,112728820.0
13.090626,-11.023417,112745760.0
13.052373,-11.07551,112762710.0
12.915016,-11.116427,112779660.0
12.950512,-11.153473,112796610.0
12.994778,-11.130731,112813560.0
12.881651,-11.143625,112830510.0
12.841659,-11.164649,112847460.0
