X,Y,time
12.619669,-6.2862177,105457624.0
12.625092,-6.385087,105474580.0
12.626047,-6.400758,105491530.0
12.636435,-6.4214582,105508470.0
12.647436,-6.44302,105525420.0
12.665832,-6.4747086,105542370.0
12.723206,-6.53491,105559320.0
12.747513,-6.558273,105576270.0
12.788137,-6.582717,105593220.0
12.804414,-6.6020985,105610170.0
12.852146,-6.624239,105627120.0
12.922897,-6.6512203,105644060.0
12.832556,-6.667204,105661016.0
12.998001,-6.699639,105677970.0
12.910133,-6.6839304,105694910.0
12.976898,-6.686092,105711864.0
13.177086,-6.6875143,105728820.0
13.095623,-6.6832685,105745760.0
13.263937,-6.6934767,105762710.0
13.303692,-6.6758294,105779660.0
13.402373,-6.6669,105796610.0
13.4560585,-6.656398,105813560.0
13.327272,-6.646537,105830510.0
13.353704,-6.6396103,105847460.0
13.418188,-6.640693,105864410.0
13.622506,-6.6301107,105881350.0
13.700732,-6.6680336,105898300.0
13.72457,-6.6511497,105915256.0
13.762552,-6.654655,105932200.0
13.68115,-6.6478357,105949150.0
13.7606535,-6.6680174,105966104.0
13.810287,-6.684352,105983050.0
13.834423,-6.686446,106000000.0
14.004679,-6.7485275,106016950.0
14.06955,-6.7747407,106033896.0
14.142576,-6.8120594,106050850.0
14.168127,-6.846578,106067790.0
14.177745,-6.838934,106084744.0
14.225571,-6.8638945,106101700.0
14.28933,-6.913572,106118640.0
14.337566,-6.9599657,106135590.0
14.361988,-7.021759,106152540.0
14.382761,-7.008206,106169490.0
14.417899,-7.038059,106186440.0
14.475269,-7.1056094,106203390.0
14.514693,-7.1460557,106220340.0
14.520163,-7.196332,106237290.0
14.544842,-7.197113,106254240.0
14.561657,-7.22458,106271180.0
14.587638,-7.312134,106288136.0
14.6111145,-7.3840694,106305090.0
14.625999,-7.4078064,106322030.0
14.609165,-7.440449,106338984.0
14.649164,-7.4603853,106355940.0
14.644094,-7.528131,106372880.0
14.653124,-7.6214633,106389830.0
14.635978,-7.6699376,106406776.0
14.674746,-7.575813,106423730.0
