X,Y,time
12.182772,-6.8863573,103745760.0
12.185048,-6.902545,103762710.0
12.164309,-6.915167,103779660.0
12.150801,-6.905922,103796610.0
12.150544,-6.852911,103813560.0
12.165823,-6.777869,103830510.0
12.157765,-6.7319174,103847460.0
12.163931,-6.684041,103864410.0
12.161957,-6.639923,103881350.0
12.169301,-6.5853353,103898300.0
12.137323,-6.6092415,103915256.0
12.145451,-6.587098,103932200.0
12.145815,-6.5616264,103949150.0
12.17198,-6.5351477,103966104.0
12.169325,-6.4990587,103983050.0
12.201284,-6.4247417,104000000.0
12.215334,-6.4036264,104016950.0
12.24194,-6.382004,104033896.0
12.258871,-6.263154,104050850.0
12.269913,-6.3547125,104067790.0
12.293859,-6.2830296,104084744.0
12.310083,-6.261401,104101700.0
12.318333,-6.253194,104118640.0
12.34263,-6.2428846,104135590.0
12.363215,-6.2669897,104152540.0
12.315525,-6.2017517,104169490.0
12.322187,-6.2151995,104186440.0
12.337971,-6.211274,104203390.0
12.344104,-6.214322,104220340.0
12.329479,-6.205557,104237290.0
12.284858,-6.192669,104254240.0
12.357105,-6.189831,104271180.0
12.358369,-6.188096,104288136.0
12.311148,-6.191916,104305090.0
12.342005,-6.2200427,104322030.0
12.354364,-6.211829,104338984.0
12.392801,-6.219034,104355940.0
12.26772,-6.2132473,104372880.0
12.39175,-6.211502,104389830.0
12.411062,-6.2081738,104406776.0
12.337105,-6.2142735,104423730.0
12.357033,-6.215973,104440680.0
12.459048,-6.1881247,104457624.0
12.38414,-6.2201858,104474580.0
12.390909,-6.219102,104491530.0
12.454187,-6.196313,104508470.0
12.410019,-6.2202873,104525420.0
12.415246,-6.2196193,104542370.0
