X,Y,time
12.808966,-11.445761,123355940.0
12.780895,-11.43346,123372880.0
12.7977295,-11.307912,123389830.0
12.745659,-11.329737,123406776.0
12.755608,-11.233397,123423730.0
12.752121,-11.28536,123440680.0
12.717353,-11.267992,123457624.0
12.826498,-11.159777,123474580.0
12.768999,-11.120175,123491530.0
12.862423,-11.096798,123508470.0
12.763683,-11.093615,123525420.0
12.880208,-11.087797,123542370.0
12.929824,-11.132716,123559320.0
12.9530735,-11.156643,123576270.0
12.956848,-11.160916,123593220.0
12.967522,-11.157271,123610170.0
12.966708,-11.186066,123627120.0
12.968117,-11.258269,123644060.0
13.001102,-11.185505,123661016.0
12.931312,-11.287317,123677970.0
12.929853,-11.285111,123694910.0
13.024345,-11.261969,123711864.0
12.911705,-11.320148,123728820.0
