,time,X,Y,running_theta,turn_id
0,1.915254,16.346518783569337,-3.944662919044495,0.0,0
1,1.932203,16.346423110961915,-3.944685683250427,1.0882835134148203,0
2,1.949152,16.346438903808593,-3.9447038316726686,0.7864463868983259,0
3,1.966101,16.346417350769045,-3.944690532684326,2.341288301345426,0
4,1.98305,16.34632865905762,-3.9448292684555053,1.5903167233251843,0
5,2.0,16.346094970703124,-3.9448891925811767,1.353772031383924,0
6,2.016949,16.34583110809326,-3.9448930120468138,0.47059871608617176,0
7,2.033898,16.34596641540527,-3.944723324775696,0.152466082358853,0
8,2.050847,16.346151809692383,-3.9446019887924195,0.01310757211955349,0
9,2.067796,16.346522064208983,-3.9444276094436646,0.1881787500489039,0
10,2.084745,16.34641414642334,-3.9444569063186647,0.34140277557085286,0
11,2.101694,16.343271369934083,-3.9458540153503416,0.34999536329029873,0
12,2.118644,16.340039443969726,-3.9473241424560546,1.7069751160179742,0
13,2.135593,16.340072631835938,-3.947368650436401,0.29844736494601376,0
14,2.152542,16.33999973297119,-3.947406458854675,0.2525513174893567,0
15,2.169491,16.33687412261963,-3.9488496017456054,-0.27121116602424206,0
16,2.18644,16.336620330810547,-3.948826389312744,-0.46226124354082365,0
17,2.203389,16.353865013122558,-3.947098913192749,0.11447800506497996,0
18,2.220338,16.348085250854492,-3.9441126585006714,0.10904298493558066,0
19,2.237288,16.342469902038573,-3.9411725759506226,0.1148886694462261,0
20,2.254237,16.336782379150392,-3.938236937522888,0.0857750225004108,0
21,2.271186,16.33136573791504,-3.935238299369812,0.0919877964461304,0
22,2.288135,16.32587692260742,-3.93224410533905,0.09215517979335222,0
23,2.305084,16.320387687683105,-3.929250874519348,0.6953361932082758,0
24,2.322033,16.320191078186035,-3.929271388053894,0.5360022535857363,0
25,2.338983,16.297523765563966,-3.928014931678772,0.771408997817272,0
26,2.355932,16.297184982299804,-3.928076591491699,0.6919727579563816,0
27,2.372881,16.296833038330078,-3.928112115859985,0.7808937502804414,0
28,2.38983,16.296488647460937,-3.9281781768798827,1.0283971900999076,0
29,2.406779,16.318904991149903,-3.9294794607162475,0.5701308483719736,0
30,2.423728,16.31541275024414,-3.930957112312317,0.561014617563136,1
31,2.440677,16.311805839538575,-3.9324446630477907,0.5703280266821964,1
32,2.457627,16.30831569671631,-3.9339222383499144,0.9621686359835896,1
33,2.474576,16.308628158569334,-3.9339195394515993,1.1141682872971643,1
34,2.491525,16.288520698547362,-3.931016974449158,1.1138570651347175,1
35,2.508474,16.308662643432616,-3.9339181184768677,0.5625096206919629,1
36,2.525423,16.30533546447754,-3.935357480049133,0.5893309394792698,1
37,2.542372,16.302300109863282,-3.936768403053284,0.5935658961531305,1
38,2.559322,16.29928211212158,-3.938186831474304,0.6075305143997919,1
39,2.576271,16.296267890930174,-3.93965521812439,0.5621467356678473,1
40,2.59322,16.29304958343506,-3.9410460948944093,1.080140861313764,1
41,2.610169,16.29312328338623,-3.9410542392730714,1.5167709099434559,1
42,2.627118,16.29309398651123,-3.941036410331726,2.229745356559615,1
43,2.644067,16.293042221069335,-3.9410450983047487,1.8420238174840882,1
44,2.661016,16.292784729003905,-3.940987129211426,0.5651344595245531,1
45,2.677966,16.29283779144287,-3.9408934450149538,1.6826259891224828,1
46,2.694915,16.270512313842772,-3.9395065927505493,1.2114596845223862,1
47,2.711864,16.270425224304198,-3.939455189704895,1.743441756835838,1
48,2.728813,16.270351219177247,-3.939455099105835,1.781948098115699,1
49,2.745762,16.27027515411377,-3.939457936286926,1.7434417568418388,1
50,2.762711,16.270201148986818,-3.9394578456878664,1.5130366128653683,1
51,2.779661,16.27041389465332,-3.9394082164764406,1.8875362090263244,1
52,2.79661,16.270124893188477,-3.939365921020508,1.5910381169456103,1
53,2.813559,16.269919662475587,-3.939268846511841,1.6067098755774438,1
54,2.830508,16.26982582092285,-3.939226245880127,0.8616400475212684,1
55,2.847457,16.270099449157716,-3.9391358947753905,1.6382447895291259,1
56,2.864406,16.270023155212403,-3.9390983152389527,2.456720699259949,1
57,2.881355,16.26957145690918,-3.9392687463760376,2.5286338663980885,1
58,2.898305,16.26923538208008,-3.9394239807128906,2.677775585886642,1
59,2.915254,16.268944778442382,-3.9396151447296144,1.7517220302991956,1
60,2.932203,16.268889961242675,-3.939595494270325,2.455974192501211,1
61,2.949152,16.26870044708252,-3.9396668386459353,2.1273075046480066,1
62,2.966101,16.268483848571776,-3.939673638343811,1.783247870858404,1
63,2.98305,16.268426132202148,-3.9396549797058107,1.1951855818877548,1
64,3.0,16.268903045654298,-3.9395202207565307,0.16103006114137663,1
65,3.016949,16.26893741607666,-3.9395528078079223,0.9711753151746046,1
66,3.033898,16.269312057495117,-3.939533543586731,1.08134349832971,1
67,3.050847,16.246887016296387,-3.938213586807251,1.2779997992568513,1
68,3.067796,16.24708408355713,-3.9382650518417357,1.5253524847842295,1
69,3.084745,16.247188911437988,-3.9382659006118774,1.9511760978831016,1
70,3.101694,16.2475910949707,-3.9380873918533323,1.8991017127417646,1
71,3.118644,16.247544746398926,-3.93811092376709,2.387196105917033,1
72,3.135593,16.247642745971678,-3.9381127166748047,1.91217290226089,1
73,3.152542,16.2475968170166,-3.9381352853775025,2.2817556532396814,1
74,3.169491,16.24779296875,-3.9381181478500364,1.9864590041683379,1
75,3.18644,16.247513160705566,-3.9382307004928587,3.551704582982633,1
76,3.203389,16.24751808166504,-3.9382427406311034,2.217015035881028,1
77,3.220338,16.24735179901123,-3.9383624839782714,2.5556876220649976,1
