,X,Y,time
3468,inf,-inf,59661016.0
3469,15.842449,-0.80796885,59677970.0
3470,inf,-inf,59694916.0
3471,15.862423,-0.8077353,59711864.0
3472,15.898905,-0.78509104,59728812.0
3473,15.942728,-0.7851049,59745760.0
3474,15.966166,-0.7851049,59762710.0
3475,15.969217,-0.78509104,59779660.0
3476,15.964514,-0.8173069,59796610.0
3477,16.000689,-0.80130327,59813560.0
3478,16.01304,-0.7851049,59830508.0
3479,16.075397,-0.7785479,59847456.0
3480,16.032768,-0.78129333,59864410.0
3481,16.099287,-0.77391386,59881356.0
3482,16.101736,-0.77003914,59898304.0
3483,16.10625,-0.7714069,59915256.0
3484,16.131216,-0.7733377,59932204.0
3485,16.163647,-0.7662467,59949150.0
3486,16.179565,-0.7493249,59966100.0
3487,16.200043,-0.76278293,59983050.0
3488,16.19738,-0.7613168,60000000.0
3489,inf,-inf,60016948.0
3490,inf,-inf,60033896.0
3491,inf,-inf,60050850.0
3492,inf,-inf,60067796.0
3493,inf,-inf,60084744.0
3494,inf,-inf,60101696.0
3495,inf,-inf,60118644.0
3496,inf,-inf,60135590.0
3497,16.307735,-0.8077353,60152544.0
3498,16.35461,-0.8077353,60169492.0
3499,16.38804,-0.8085424,60186440.0
3500,16.397276,-0.8311249,60203388.0
3501,16.397276,-0.8311249,60220336.0
3502,16.397276,-0.8311249,60237290.0
3503,16.397276,-0.8311249,60254236.0
3504,16.455193,-0.8316293,60271184.0
3505,16.502068,-0.8316293,60288136.0
3506,16.569012,-0.83140635,60305084.0
3507,16.573889,-0.8407444,60322030.0
3508,16.573889,-0.8407444,60338984.0
3509,16.591022,-0.8254229,60355932.0
3510,16.60889,-0.8318405,60372880.0
3511,16.661919,-0.7998589,60389830.0
3512,16.692188,-0.7948444,60406780.0
3513,16.712101,-0.7732122,60423730.0
3514,16.712101,-0.7732122,60440676.0
3515,16.72511,-0.76687956,60457628.0
3516,inf,-inf,60474576.0
3517,16.75027,-0.757078,60491524.0
3518,16.797146,-0.73364055,60508470.0
3519,16.820671,-0.720425,60525424.0
3520,16.828407,-0.7326268,60542372.0
3521,16.832813,-0.72453177,60559320.0
3522,16.825397,-0.7316729,60576270.0
3523,16.825323,-0.7306595,60593220.0
3524,16.855032,-0.7000367,60610170.0
3525,16.816036,-0.7635455,60627120.0
3526,16.816036,-0.7635455,60644068.0
3527,16.81236,-0.7820747,60661016.0
3528,16.816036,-0.786983,60677970.0
3529,16.792942,-0.80465436,60694916.0
3530,16.8856,-0.7532284,60711864.0
3531,16.844288,-0.79398054,60728812.0
3532,16.854221,-0.7619418,60745760.0
3533,16.92775,-0.7350206,60762710.0
3534,16.935524,-0.73609465,60779660.0
3535,16.93075,-0.73537534,60796610.0
3536,16.926605,-0.76278293,60813560.0
3537,16.90097,-0.7652539,60830508.0
3538,16.96604,-0.70910734,60847456.0
3539,16.922546,-0.77566963,60864410.0
3540,16.908054,-0.8042012,60881356.0
3541,16.907633,-0.808087,60898304.0
3542,16.933311,-0.8127482,60915256.0
3543,16.979103,-0.748418,60932204.0
3544,16.977255,-0.7440041,60949150.0
3545,16.980911,-0.72037077,60966100.0
3546,16.972519,-0.7181425,60983050.0
3547,16.952862,-0.80820876,61000000.0
3548,16.991892,-0.76791555,61016948.0
3549,16.968878,-0.80689573,61033896.0
3550,17.005419,-0.8036542,61050850.0
3551,16.983803,-0.82939386,61067796.0
3552,16.983543,-0.85216874,61084744.0
3553,16.97776,-0.8600745,61101696.0
3554,17.005293,-0.8100178,61118644.0
3555,inf,-inf,61135590.0
3556,inf,-inf,61152544.0
