X,Y,time
12.819805,-11.041559,115288136.0
12.865233,-11.023536,115305090.0
12.8909855,-10.993198,115322030.0
12.901523,-10.992597,115338984.0
12.895738,-10.970548,115355940.0
12.926694,-10.965358,115372880.0
12.8416815,-10.971595,115389830.0
12.896893,-10.959829,115406776.0
13.085304,-11.013444,115423730.0
13.091054,-11.016726,115440680.0
13.1071,-11.025599,115457624.0
13.141638,-11.015532,115474580.0
13.186628,-11.086304,115491530.0
13.232128,-11.132342,115508470.0
13.235956,-11.157202,115525420.0
13.247044,-11.153505,115542370.0
13.25947,-11.178473,115559320.0
13.289523,-11.235058,115576270.0
13.292273,-11.299714,115593220.0
13.299433,-11.35072,115610170.0
13.296841,-11.37523,115627120.0
13.312305,-11.372166,115644060.0
13.318464,-11.4039955,115661016.0
13.311581,-11.42379,115677970.0
13.306982,-11.422059,115694910.0
13.287022,-11.452769,115711864.0
13.311375,-11.466337,115728820.0
13.366377,-11.435782,115745760.0
13.327433,-11.491966,115762710.0
13.318145,-11.5115185,115779660.0
13.305706,-11.532002,115796610.0
13.164484,-11.534059,115813560.0
13.273972,-11.540695,115830510.0
13.169784,-11.539649,115847460.0
